   CH4(S1) => CH3(S1) + H(S2)
  T/K     DeltaU(kJ/mol)  DeltaH(kJ/mol)  DeltaS(J/K mol)  DeltaG(kJ/mol)     K
 4890.0           -20.25          -20.25            93.54         -477.65  1.27e+05
 4900.0           -20.25          -20.25            93.54         -478.58  1.26e+05
 4910.0           -20.24          -20.24            93.54         -479.52  1.26e+05
 4920.0           -20.24          -20.24            93.54         -480.45  1.26e+05
 4930.0           -20.24          -20.24            93.54         -481.39  1.26e+05
 4940.0           -20.24          -20.24            93.54         -482.32  1.26e+05
 4950.0           -20.24          -20.24            93.54         -483.26  1.26e+05
 4960.0           -20.24          -20.24            93.54         -484.20  1.26e+05
 4970.0           -20.24          -20.24            93.54         -485.13  1.25e+05
 4980.0           -20.24          -20.24            93.54         -486.07  1.25e+05
 4990.0           -20.24          -20.24            93.54         -487.00  1.25e+05
 5000.0           -20.24          -20.24            93.54         -487.94  1.25e+05

   CH4(S1) => CH3(S1) + H(S2)
  T/K     DeltaU(kJ/mol)  DeltaH(kJ/mol)  DeltaS(J/K mol)  DeltaG(kJ/mol)     K
  600.0            19.65           19.65           -94.66           76.44  2.21e-07
  610.0            19.67           19.67           -94.62           77.39  2.36e-07
  620.0            19.69           19.69           -94.58           78.34  2.51e-07
  630.0            19.72           19.72           -94.54           79.28  2.67e-07
  640.0            19.74           19.74           -94.51           80.23  2.83e-07
  650.0            19.77           19.77           -94.47           81.17  3.00e-07
  660.0            19.79           19.79           -94.43           82.12  3.17e-07
  670.0            19.81           19.81           -94.40           83.06  3.35e-07
  680.0            19.84           19.84           -94.36           84.00  3.53e-07
  690.0            19.86           19.86           -94.32           84.95  3.71e-07
  700.0            19.89           19.89           -94.29           85.89  3.90e-07
  710.0            19.91           19.91           -94.26           86.83  4.09e-07
  720.0            19.93           19.93           -94.23           87.78  4.29e-07
  730.0            19.96           19.96           -94.19           88.72  4.49e-07
  740.0            19.98           19.98           -94.16           89.66  4.69e-07
  750.0            20.00           20.00           -94.13           90.60  4.90e-07
  760.0            20.02           20.02           -94.10           91.54  5.11e-07
  770.0            20.04           20.04           -94.08           92.48  5.33e-07
  780.0            20.07           20.07           -94.05           93.42  5.54e-07
  790.0            20.09           20.09           -94.02           94.36  5.77e-07
  800.0            20.11           20.11           -94.00           95.30  5.99e-07
  810.0            20.13           20.13           -93.97           96.24  6.22e-07
  820.0            20.15           20.15           -93.95           97.18  6.45e-07
  830.0            20.17           20.17           -93.92           98.12  6.68e-07
  840.0            20.19           20.19           -93.90           99.06  6.92e-07
  850.0            20.20           20.20           -93.88          100.00  7.16e-07
  860.0            20.22           20.22           -93.86          100.94  7.40e-07
  870.0            20.24           20.24           -93.84          101.88  7.65e-07
  880.0            20.26           20.26           -93.82          102.82  7.89e-07
  890.0            20.27           20.27           -93.80          103.75  8.14e-07
  900.0            20.29           20.29           -93.78          104.69  8.39e-07
  910.0            20.31           20.31           -93.76          105.63  8.65e-07
  920.0            20.32           20.32           -93.74          106.57  8.90e-07
  930.0            20.34           20.34           -93.73          107.50  9.16e-07
  940.0            20.35           20.35           -93.71          108.44  9.42e-07
  950.0            20.37           20.37           -93.70          109.38  9.68e-07
  960.0            20.38           20.38           -93.68          110.32  9.95e-07
  970.0            20.39           20.39           -93.67          111.25  1.02e-06
  980.0            20.41           20.41           -93.65          112.19  1.05e-06
  990.0            20.42           20.42           -93.64          113.13  1.07e-06
 1000.0            20.43           20.43           -93.63          114.06  1.10e-06
 1010.0            20.44           20.44           -93.62          115.00  1.13e-06
 1020.0            20.46           20.46           -93.61          115.93  1.16e-06
 1030.0            20.47           20.47           -93.59          116.87  1.18e-06
 1040.0            20.48           20.48           -93.58          117.81  1.21e-06
 1050.0            20.49           20.49           -93.57          118.74  1.24e-06
 1060.0            20.50           20.50           -93.56          119.68  1.27e-06
 1070.0            20.51           20.51           -93.55          120.61  1.29e-06
 1080.0            20.52           20.52           -93.54          121.55  1.32e-06
 1090.0            20.53           20.53           -93.54          122.48  1.35e-06
 1100.0            20.54           20.54           -93.53          123.42  1.38e-06
 1110.0            20.55           20.55           -93.52          124.35  1.41e-06
 1120.0            20.56           20.56           -93.51          125.29  1.43e-06
 1130.0            20.57           20.57           -93.50          126.22  1.46e-06
 1140.0            20.57           20.57           -93.50          127.16  1.49e-06
 1150.0            20.58           20.58           -93.49          128.09  1.52e-06
 1160.0            20.59           20.59           -93.48          129.03  1.55e-06
 1170.0            20.60           20.60           -93.48          129.96  1.58e-06
 1180.0            20.60           20.60           -93.47          130.90  1.61e-06
 1190.0            20.61           20.61           -93.47          131.83  1.63e-06
 1200.0            20.62           20.62           -93.46          132.77  1.66e-06
 1210.0            20.62           20.62           -93.46          133.70  1.69e-06
 1220.0            20.63           20.63           -93.45          134.64  1.72e-06
 1230.0            20.63           20.63           -93.45          135.57  1.75e-06
 1240.0            20.64           20.64           -93.44          136.51  1.78e-06
 1250.0            20.64           20.64           -93.44          137.44  1.81e-06
 1260.0            20.65           20.65           -93.43          138.38  1.83e-06
 1270.0            20.65           20.65           -93.43          139.31  1.86e-06
 1280.0            20.66           20.66           -93.43          140.24  1.89e-06
 1290.0            20.66           20.66           -93.42          141.18  1.92e-06
 1300.0            20.67           20.67           -93.42          142.11  1.95e-06
 1310.0            20.67           20.67           -93.42          143.05  1.98e-06
 1320.0            20.68           20.68           -93.41          143.98  2.01e-06
 1330.0            20.68           20.68           -93.41          144.91  2.04e-06
 1340.0            20.68           20.68           -93.41          145.85  2.06e-06
 1350.0            20.69           20.69           -93.40          146.78  2.09e-06
 1360.0            20.69           20.69           -93.40          147.72  2.12e-06
 1370.0            20.69           20.69           -93.40          148.65  2.15e-06
 1380.0            20.70           20.70           -93.40          149.58  2.18e-06
 1390.0            20.70           20.70           -93.40          150.52  2.21e-06
 1400.0            20.70           20.70           -93.39          151.45  2.24e-06
 1410.0            20.70           20.70           -93.39          152.39  2.26e-06
 1420.0            20.71           20.71           -93.39          153.32  2.29e-06
 1430.0            20.71           20.71           -93.39          154.25  2.32e-06
 1440.0            20.71           20.71           -93.39          155.19  2.35e-06
 1450.0            20.71           20.71           -93.39          156.12  2.38e-06
 1460.0            20.71           20.71           -93.38          157.06  2.40e-06
 1470.0            20.72           20.72           -93.38          157.99  2.43e-06
 1480.0            20.72           20.72           -93.38          158.92  2.46e-06
